index,Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
12,A Symphony in the Brain - The Evolution of the New Brain Wave Biofeedback,"A “fascinating overview” of neurofeedback and its potential benefits for treating depression, autism, epilepsy, and other conditions (Discover). Since A Symphony in the Brain was first published, the scientific understanding of our bodies, brains, and minds has taken remarkable leaps. From neurofeedback with functional magnetic resonance imaging equipment, to the use of radio waves, to biofeedback of the heart and breath and coverage of biofeedback by health insurance plans, this expanded and updated edition of the groundbreaking book traces the fascinating untold story of the development of biofeedback. Discovered by a small corps of research scientists, this alternative treatment allows a patient to see real-time measurements of their bodily processes. Its advocates claim biofeedback can treat epilepsy, autism, attention deficit disorder, addictions, and depression with no drugs or side effects; bring patients out of vegetative states; and even improve golf scores or an opera singer’s voice. But biofeedback has faced battles for acceptance in the conservative medical world despite positive signs that it could revolutionize the way a diverse range of medical and psychological problems are treated. Offering case studies, accessible scientific explanations, and dramatic personal accounts, this book explores the possibilities for the future of our health. “Robbins details the fascinating medical history of the therapy, tracing it back to French physician Paul Broca’s discovery of the region in the brain where speech originates. At the heart of this riveting story are the people whose lives have been transformed by neurofeedback, from the doctors and psychologists who employ it to the patients who have undergone treatment.” —Publishers Weekly",['Jim Robbins'],http://books.google.com/books/content?id=4xHnBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=4xHnBAAAQBAJ&printsec=frontcover&dq=A+Symphony+in+the+Brain+-+The+Evolution+of+the+New+Brain+Wave+Biofeedback&hl=&cd=1&source=gbs_api,Open Road + Grove/Atlantic,2014-10-03,https://play.google.com/store/books/details?id=4xHnBAAAQBAJ&source=gbs_api,['Medical'],1.0
13,The Earth and Me,"Pairing aspects of eco-friendly living with each letter of the alphabet, ABC Earth-Friendly Me features 26 things a kid can do to help care for the Earth.",['Christiane Engel'],http://books.google.com/books/content?id=ElTpDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=ElTpDwAAQBAJ&pg=PP1&dq=The+Earth+and+Me&hl=&cd=1&source=gbs_api,Walter Foster Jr,2020-07-14,https://play.google.com/store/books/details?id=ElTpDwAAQBAJ&source=gbs_api,['Juvenile Nonfiction'],2.0
14,Latino Heretics,"A collection of writings by angry young men of Latino extraction. In Rick Najera's Hollywood Heretic, the hero observes that the film, 'Saving Private Ryan,' had no Latinos, yet Latinos are the most decorated of all groups, ""but obviously we are camera-shy when it comes to World War II and Korea.""",['Tony Diaz'],http://books.google.com/books/content?id=DcjdalSYapUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=DcjdalSYapUC&printsec=frontcover&dq=Latino+Heretics&hl=&cd=1&source=gbs_api,University of Alabama Press,1999,http://books.google.nl/books?id=DcjdalSYapUC&dq=Latino+Heretics&hl=&source=gbs_api,['Fiction'],1.0
15,What Work Is,"Winner of the National Book Award in 1991 “This collection amounts to a hymn of praise for all the workers of America. These proletarian heroes, with names like Lonnie, Loo, Sweet Pea, and Packy, work the furnaces, forges, slag heaps, assembly lines, and loading docks at places with unglamorous names like Brass Craft or Feinberg and Breslin’s First-Rate Plumbing and Plating. Only Studs Terkel’s Working approaches the pathos and beauty of this book. But Levine’s characters are also significant for their inner lives, not merely their jobs. They are unusually artistic, living ‘at the borders of dreams.’ One reads The Tempest ‘slowly to himself’; another ponders a diagonal chalk line drawn by his teacher to suggest a triangle, the roof of a barn, or the mysterious separation of ‘the dark from the dark.’ What Work Is ranks as a major work by a major poet . . . very accessible and utterly American in tone and language.” —Daniel L. Guillory, Library Journal",['Philip Levine'],http://books.google.com/books/content?id=Ln4btRVrhHkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=Ln4btRVrhHkC&printsec=frontcover&dq=What+Work+Is&hl=&cd=1&source=gbs_api,Knopf,2011-08-31,https://play.google.com/store/books/details?id=Ln4btRVrhHkC&source=gbs_api,['Poetry'],2.0
16,Ten Miles from Winnemucca,"When his mother and her new husband take off on a long honeymoon and his new stepbrother throws his belongings out the window, sixteen-year-old Martin J. Miller takes off in his Jeep and settles in Red Rock, Idaho, where he finds a job, enrolls in school, and suffers from loneliness.",['Thelma Hatch Wyss'],http://books.google.com/books/content?id=YN2qbC6FY1YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=YN2qbC6FY1YC&q=Ten+Miles+from+Winnemucca&dq=Ten+Miles+from+Winnemucca&hl=&cd=1&source=gbs_api,Harpercollins Childrens Books,2002,http://books.google.com/books?id=YN2qbC6FY1YC&dq=Ten+Miles+from+Winnemucca&hl=&source=gbs_api,['Juvenile Fiction'],1.0
17,John Coltrane's Giant Steps (Richard Jackson Books),"You may be surprised at the tricky music a box, a snowflake, some raindrops, and a kitten can make. Right before your eyes. And on the pages of this book. There is someone backstage watching, encouraging our performers but keeping them under control. Why not listen along?",['Chris Raschka'],http://books.google.com/books/content?id=upjGQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=upjGQgAACAAJ&dq=John+Coltrane%27s+Giant+Steps+(Richard+Jackson+Books)&hl=&cd=1&source=gbs_api,Atheneum/Richard Jackson Books,2002-07-01,http://books.google.com/books?id=upjGQgAACAAJ&dq=John+Coltrane%27s+Giant+Steps+(Richard+Jackson+Books)&hl=&source=gbs_api,['Juvenile Nonfiction'],2.0
18,BEDLAM,"The mad have always been with us. Bethlehem Hospital, or `Bedlam' as it became in cockney slang, is the world's oldest psychiatric hospital. Founded in 1247 it developed from a ramshackle hovel to the magnificent `Palace Beautiful', where visitors could pay to gawp at the chained inmates, through to the great Victorian hospital in Lambeth, now the Imperial War Museum. Catharine Arnold takes us on a tour of Bedlam and examines London's attitude to madness along the way. We travel through the ages, from the barbaric `exorcisms' of the medieval period to the Tudor belief that a roast mouse, eaten whole, was the cure. We see the reforming zeal of eighteenth century campaigners and the development of the massive Victorian asylums. This was the era of the private madhouse, run by `traders in lunacy' who asked no questions and locked up insane and sane alike at the behest of greedy relatives. But it was also the age of the determined reformers who eventually made their way into Bedlam and exposed conditions of terrible deprivation and brutality. `A finely written, thoroughly researched and humane book, packed with moving stories' Independent `Smoothly written, densely researched...When you close this rewardingly informative and tastefully conceived book, you will be the richer for it' Sunday Express",['Catharine Arnold'],http://books.google.com/books/content?id=BFZ3IRUs8YsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=BFZ3IRUs8YsC&printsec=frontcover&dq=BEDLAM&hl=&cd=1&source=gbs_api,Simon and Schuster,2009-12-01,http://books.google.nl/books?id=BFZ3IRUs8YsC&dq=BEDLAM&hl=&source=gbs_api,['History'],7.0
19,Atlantis: The Lost City (Turtleback School & Library Binding Edition) (DK Eyewitness Readers: Level 4),For use in schools and libraries only. A class trip to a beautiful island is overshadowed by a local myth about a mysterious ship that may have ties to the lost city of Atlantis.,['Liz Kessler'],http://books.google.com/books/content?id=nogHkAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=nogHkAEACAAJ&dq=Atlantis:+The+Lost+City+(Turtleback+School&hl=&cd=1&source=gbs_api,Emily Windsnap,2016-08-02,http://books.google.com/books?id=nogHkAEACAAJ&dq=Atlantis:+The+Lost+City+(Turtleback+School&hl=&source=gbs_api,['Juvenile Fiction'],1.0
20,"Star Wars, Episode II: Attack of the Clones (Junior Novelization)","The story of the much-anticipated follow-up to ""Star Wars: Episode I"" is toldin this adaptation for young readers.","['Patricia C. Wrede', 'George Lucas', 'Jonathan Hales']",http://books.google.com/books/content?id=ket7GwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=ket7GwAACAAJ&dq=Star+Wars,+Episode+II:+Attack+of+the+Clones+(Junior+Novelization)&hl=&cd=1&source=gbs_api",Scholastic Paperbacks,2002,"http://books.google.nl/books?id=ket7GwAACAAJ&dq=Star+Wars,+Episode+II:+Attack+of+the+Clones+(Junior+Novelization)&hl=&source=gbs_api",['Juvenile Fiction'],2.0
21,A Knife in the Back,"Dr. Sally Good, Chair of the English department, is plunged back into a maelstrom of academic politics, intrigue, and murder when her date, faculty member Jack Neville, is arrested for the brutal killing of one of the college's trustees.",['Bill Crider'],http://books.google.com/books/content?id=gGLXoFDKSfAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=gGLXoFDKSfAC&printsec=frontcover&dq=A+Knife+in+the+Back&hl=&cd=1&source=gbs_api,Macmillan,2002-09-10,http://books.google.com/books?id=gGLXoFDKSfAC&dq=A+Knife+in+the+Back&hl=&source=gbs_api,['Fiction'],1.0
22,"The Gospel of John: Introduction, Exposition and Notes","New in the Eerdmans Classic Biblical Commentaries collection In this classic commentary on the Gospel of John, first published in 1983, F. F. Bruce leads readers through the rich and complex words of John the Evangelist with a careful verse-by-verse exposition of the Gospel's original text, its historical context, and its ongoing relevance for the Christian life. Drawing on more than thirty years of study, Bruce introduces the volume with discussions of the Gospel's authorship, its significance for the early church, and its message. The commentary proper is based on Bruce's own translation of the Greek text, and the bibliography and notes point to resources for further study.",['F. F. Bruce'],http://books.google.com/books/content?id=dwzttAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.com/books?id=dwzttAEACAAJ&dq=The+Gospel+of+John:+Introduction,+Exposition+and+Notes&hl=&cd=1&source=gbs_api",Eerdmans Classic Biblical Comm,2018-03,"http://books.google.com/books?id=dwzttAEACAAJ&dq=The+Gospel+of+John:+Introduction,+Exposition+and+Notes&hl=&source=gbs_api",['Religion'],1.0
23,Heartbeat: George Bush in His Own Words,For the first time in paperback--the wit and wisdom of the former President and a revealing look at the private man behind the public persona. Photos.,['George Bush'],http://books.google.com/books/content?id=WEqyCpkOx4cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=WEqyCpkOx4cC&printsec=frontcover&dq=Heartbeat:+George+Bush+in+His+Own+Words&hl=&cd=1&source=gbs_api,Citadel Press,2003-09-01,http://books.google.com/books?id=WEqyCpkOx4cC&dq=Heartbeat:+George+Bush+in+His+Own+Words&hl=&source=gbs_api,['Biography & Autobiography'],1.0
24,The Pool of Fire,"Will must defeat the Tripods once and for all in this third book of a classic alien trilogy ideal for fans of Rick Yancey’s The 5th Wave and Margaret Peterson Haddix’s Shadow Children series. After being held captive in the City of Gold and Lead—the capital, where the creatures that control the mechanical, monstrous Tripods live—Will believes that he’s learned everything he needs to know to destroy them. He has discovered the source of their power, and with this new knowledge, Will and his friends plan to return to the City of Gold and Lead to take down the Masters once and for all. Although Will and his friends have planned everything down to the minute, the Masters still have surprises in store. And with the Masters’ plan to destroy Earth completely, Will may have just started the war that will end it all.",['John Christopher'],http://books.google.com/books/content?id=BQ8uAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=BQ8uAAAAQBAJ&printsec=frontcover&dq=The+Pool+of+Fire&hl=&cd=1&source=gbs_api,Simon and Schuster,2013-09-10,https://play.google.com/store/books/details?id=BQ8uAAAAQBAJ&source=gbs_api,['Juvenile Fiction'],9.0
25,Check Six!,"“Makes you proud to be an American . . . a wonderful, fast-paced read, and I highly recommend it for any World War II aviation enthusiast” (Military Review). There were no mission limits for a pilot in the Pacific during World War II; unlike in Europe, you flew until it was time to go home. So it was for James “Jug” Curran, all the way from New Guinea to the Philippines with the 348th Fighter Group, the first P-47 Thunderbolt outfit in the Pacific. After the attack on Pearl Harbor, Curran volunteered to try flying in the blue yonder and trained as an Army fighter pilot. He got his wish to fly the P-47 in the Pacific, going into combat in August 1943, in New Guinea, and later helping start the “Black Rams” fighter squadron. The heavy US Thunderbolts were at first curious to encounter the nimble, battle-hardened Japanese in aerial combat, but soon, the American pilots gained skill of their own and their planes proved superior. Bombers on both sides could fall to fighters, but the fighters themselves were eyeball to eyeball, best man win. Check Six! is an aviation chronicle that brings the reader into flight, then into the fight, throughout the Pacific War and back. This work, from someone who was there, captures the combat experience of our aviators in the Pacific, aided by pertinent excerpts from the official histories of units that “Jug” Curran flew with. “Jim Curran is not afraid to share his moments of fear and emotions during the air battles with his readers which gives the book an extra dimension.” —AviationBookReviews.com","['Jim Curran', 'Terrence Popravak']",http://books.google.com/books/content?id=d4T3CQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=d4T3CQAAQBAJ&pg=PP1&dq=Check+Six!&hl=&cd=1&source=gbs_api,Casemate,2015-07-19,https://play.google.com/store/books/details?id=d4T3CQAAQBAJ&source=gbs_api,['History'],2.0
26,Diners of Pennsylvania,Revised and updated edition of the best-selling first edition (978-0-8117-2878-2).,"['Brian Butko', 'Kevin Patrick', 'Kyle R. Weaver', 'Jacqueline Breuil']",http://books.google.com/books/content?id=A2FPKdSPL8IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=A2FPKdSPL8IC&printsec=frontcover&dq=Diners+of+Pennsylvania&hl=&cd=1&source=gbs_api,Stackpole Books,2011-04-13,https://play.google.com/store/books/details?id=A2FPKdSPL8IC&source=gbs_api,['Travel'],1.0
